type,threads,ops,latency_ns,throughput_mops
baseline,1,100000,1.28,783.546
nexus,1,100000,39.71,25.182
baseline,2,100000,1.76,567.779
nexus,2,100000,39.19,25.520
baseline,4,100000,3.18,314.589
nexus,4,100000,40.73,24.549
baseline,8,100000,5.95,167.950
nexus,8,100000,38.98,25.651
baseline,16,100000,11.63,85.991
nexus,16,100000,39.75,25.157
baseline,32,100000,26.77,37.351
nexus,32,100000,43.13,23.187
baseline,64,100000,51.91,19.265
nexus,64,100000,38.76,25.798
baseline,128,100000,117.73,8.494
nexus,128,100000,39.67,25.210
baseline,256,100000,237.67,4.207
nexus,256,100000,39.01,25.636
